Calculating solvability percentage...

[Lower Bound, Upper Bound] | Solvable/Unsolvable/Intractable | Current seed | (Est. Confidence Interval: Continue/Re-eval)
--- Timeout = 500 milliseconds ---
[0.000, 100.000] | 0/0/0 | 0 | (N/A)
[16.749, 100.000] | 1/0/0 | 0 | (N/A)
[29.022, 100.000] | 2/0/0 | 1 | (N/A)
[38.252, 100.000] | 3/0/0 | 2 | (N/A)
[45.404, 100.000] | 4/0/0 | 3 | (N/A)
[51.094, 100.000] | 5/0/0 | 4 | (N/A)
[41.780, 98.864] | 5/1/0 | 5 | (N/A)
[46.650, 99.468] | 6/1/0 | 6 | (N/A)
[50.782, 99.887] | 7/1/0 | 7 | (N/A)
[54.328, 100.000] | 8/1/0 | 8 | (N/A)
[57.403, 100.000] | 9/1/0 | 9 | (N/A)
[51.151, 100.000] | 9/1/1 | 10 | (45.208, 44.862)
--- Timeout doubled to 1000 ms. Re-evaluating intractable seeds ---
[-- re-eval --] | 1/0/0 | 10
--- Re-evaluation complete ---
[60.093, 100.000] | 10/1/0 | 11 | (N/A)
[62.466, 100.000] | 11/1/0 | 11 | (N/A)
[56.535, 100.000] | 11/1/1 | 12 | (54.863, 37.534)
--- Timeout doubled to 2000 ms. Re-evaluating intractable seeds ---
[-- re-eval --] | 1/0/0 | 12
--- Re-evaluation complete ---
[64.574, 100.000] | 12/1/0 | 13 | (N/A)
[66.460, 100.000] | 13/1/0 | 13 | (N/A)
[68.156, 100.000] | 14/1/0 | 14 | (N/A)
[69.689, 100.000] | 15/1/0 | 15 | (N/A)
[71.082, 100.000] | 16/1/0 | 16 | (N/A)
[65.954, 98.144] | 16/2/0 | 17 | (N/A)
[67.371, 98.299] | 17/2/0 | 18 | (N/A)
[68.675, 98.434] | 18/2/0 | 19 | (N/A)
[69.880, 98.554] | 19/2/0 | 20 | (N/A)
[65.819, 96.096] | 19/3/0 | 21 | (N/A)
[67.029, 96.306] | 20/3/0 | 22 | (N/A)
[68.156, 96.495] | 21/3/0 | 23 | (N/A)
[69.210, 96.667] | 22/3/0 | 24 | (N/A)
[65.851, 94.468] | 22/4/0 | 25 | (N/A)
[66.902, 94.703] | 23/4/0 | 26 | (N/A)
[67.892, 94.919] | 24/4/0 | 27 | (N/A)
[64.978, 92.875] | 24/5/0 | 28 | (N/A)
[65.960, 93.139] | 25/5/0 | 29 | (N/A)
[63.350, 91.183] | 25/6/0 | 30 | (N/A)
[64.317, 91.484] | 26/6/0 | 31 | (N/A)
[65.234, 91.766] | 27/6/0 | 32 | (N/A)
[66.107, 92.031] | 28/6/0 | 33 | (N/A)
[63.805, 90.261] | 28/7/0 | 34 | (N/A)
[64.665, 90.554] | 29/7/0 | 35 | (N/A)
[65.486, 90.829] | 30/7/0 | 36 | (N/A)
[66.269, 91.090] | 31/7/0 | 37 | (N/A)
[64.211, 89.475] | 31/8/0 | 38 | (N/A)
[62.288, 87.893] | 31/9/0 | 39 | (N/A)
[63.083, 88.209] | 32/9/0 | 40 | (N/A)
[63.845, 88.509] | 33/9/0 | 41 | (N/A)
[64.577, 88.795] | 34/9/0 | 42 | (N/A)
[65.279, 89.067] | 35/9/0 | 43 | (N/A)
[63.546, 89.326] | 35/9/1 | 44 | (30.577, 23.787)
--- Timeout doubled to 4000 ms. Re-evaluating intractable seeds ---
[-- re-eval --] | 0/0/1 | 44
--- Re-evaluation complete ---
[63.546, 89.326] | 35/9/1 | 45 | (23.010, 23.787)
[64.240, 89.573] | 36/9/1 | 45 | (22.586, 23.370)
[64.907, 89.809] | 37/9/1 | 46 | (22.178, 22.968)
[65.550, 90.035] | 38/9/1 | 47 | (21.832, 22.578)
[66.171, 90.251] | 39/9/1 | 48 | (21.457, 22.201)
[66.769, 90.458] | 40/9/1 | 49 | (21.093, 21.836)
[67.347, 90.656] | 41/9/1 | 50 | (20.741, 21.482)
[67.905, 90.847] | 42/9/1 | 51 | (20.401, 21.139)
[68.444, 91.029] | 43/9/1 | 52 | (20.071, 20.807)
[68.966, 91.205] | 44/9/1 | 53 | (19.751, 20.484)
[69.471, 91.374] | 45/9/1 | 54 | (19.441, 20.171)
[67.983, 91.537] | 45/9/2 | 55 | (21.057, 21.894)
[68.486, 91.694] | 46/9/2 | 56 | (20.736, 21.581)
[68.974, 91.845] | 47/9/2 | 57 | (20.424, 21.277)
[69.447, 91.990] | 48/9/2 | 58 | (20.121, 20.981)
