Calculating solvability percentage...

[Lower Bound, Upper Bound] | Solvable/Unsolvable/Intractable | Current seed | (Est. Confidence Interval: Continue/Re-eval)
--- Timeout = 500 milliseconds ---
[0.000, 100.000] | 0/0/0 | 0 | (N/A)
[16.749, 100.000] | 1/0/0 | 0 | (N/A)
[9.453, 90.547] | 1/1/0 | 1 | (N/A)
[20.244, 94.373] | 2/1/0 | 2 | (N/A)
[28.913, 96.592] | 3/1/0 | 3 | (N/A)
[35.962, 97.968] | 4/1/0 | 4 | (N/A)
[41.780, 98.864] | 5/1/0 | 5 | (N/A)
[46.650, 99.468] | 6/1/0 | 6 | (N/A)
[50.782, 99.887] | 7/1/0 | 7 | (N/A)
[44.279, 94.657] | 7/2/0 | 8 | (N/A)
[47.936, 95.411] | 8/2/0 | 9 | (N/A)
[51.151, 96.013] | 9/2/0 | 10 | (N/A)
[46.150, 91.725] | 9/3/0 | 11 | (N/A)
[42.041, 87.648] | 9/4/0 | 12 | (N/A)
[38.599, 83.820] | 9/5/0 | 13 | (N/A)
[41.501, 85.036] | 10/5/0 | 14 | (N/A)
[44.149, 86.090] | 11/5/0 | 15 | (N/A)
[41.156, 82.835] | 11/6/0 | 16 | (N/A)
[38.542, 79.771] | 11/7/0 | 17 | (N/A)
[36.239, 76.894] | 11/8/0 | 18 | (N/A)
[34.195, 74.194] | 11/9/0 | 19 | (N/A)
[36.520, 75.557] | 12/9/0 | 20 | (N/A)
[34.649, 73.090] | 12/10/0 | 21 | (N/A)
[36.791, 74.385] | 13/10/0 | 22 | (N/A)
[38.803, 75.564] | 14/10/0 | 23 | (N/A)
[40.696, 76.640] | 15/10/0 | 24 | (N/A)
[38.924, 74.480] | 15/11/0 | 25 | (N/A)
[37.301, 72.426] | 15/12/0 | 26 | (N/A)
[35.808, 70.473] | 15/13/0 | 27 | (N/A)
[34.430, 68.615] | 15/14/0 | 28 | (N/A)
[36.138, 69.772] | 16/14/0 | 29 | (N/A)
[37.764, 70.846] | 17/14/0 | 30 | (N/A)
[36.446, 71.847] | 17/14/1 | 31 | (26.682, 32.688)
[35.217, 70.164] | 17/15/1 | 32 | (26.226, 32.279)
[36.734, 71.127] | 18/15/1 | 33 | (25.720, 31.817)
[35.568, 69.539] | 18/16/1 | 34 | (26.066, 31.439)
[34.474, 70.467] | 18/16/2 | 35 | (27.373, 31.013)
[33.446, 68.966] | 18/17/2 | 36 | (26.922, 30.660)
[34.850, 69.861] | 19/17/2 | 37 | (26.608, 30.266)
[36.199, 70.706] | 20/17/2 | 38 | (26.146, 29.871)
[37.496, 71.504] | 21/17/2 | 39 | (25.572, 29.478)
[38.743, 72.261] | 22/17/2 | 40 | (25.140, 29.087)
[39.944, 72.978] | 23/17/2 | 41 | (24.719, 28.699)
[38.913, 71.630] | 23/18/2 | 42 | (24.403, 28.474)
[40.062, 72.330] | 24/18/2 | 43 | (24.015, 28.113)
[39.075, 71.044] | 24/19/2 | 44 | (23.720, 27.898)
[40.176, 71.727] | 25/19/2 | 45 | (23.360, 27.561)
[41.240, 72.378] | 26/19/2 | 46 | (23.009, 27.226)
[40.288, 71.164] | 26/20/2 | 47 | (23.318, 27.039)
[41.310, 71.801] | 27/20/2 | 48 | (22.983, 26.725)
[40.396, 70.637] | 27/21/2 | 49 | (22.730, 26.545)
[41.380, 71.259] | 28/21/2 | 50 | (22.418, 26.250)
[40.501, 71.856] | 28/21/3 | 51 | (23.474, 26.077)
[41.450, 72.429] | 29/21/3 | 52 | (23.151, 25.799)
[42.370, 72.978] | 30/21/3 | 53 | (22.836, 25.524)
[43.263, 73.507] | 31/21/3 | 54 | (22.630, 25.251)
[44.130, 74.014] | 32/21/3 | 55 | (22.326, 24.981)
[44.971, 74.503] | 33/21/3 | 56 | (22.029, 24.714)
[45.787, 74.974] | 34/21/3 | 57 | (21.678, 24.450)
[46.581, 75.428] | 35/21/3 | 58 | (21.398, 24.190)
[47.352, 75.865] | 36/21/3 | 59 | (21.124, 23.933)
[48.101, 76.287] | 37/21/3 | 60 | (20.856, 23.680)
[47.238, 75.287] | 37/22/3 | 61 | (21.152, 23.603)
[47.967, 75.705] | 38/22/3 | 62 | (20.893, 23.362)
[48.676, 76.110] | 39/22/3 | 63 | (20.640, 23.125)
[49.367, 76.501] | 40/22/3 | 64 | (20.392, 22.891)
[50.040, 76.879] | 41/22/3 | 65 | (20.230, 22.661)
