Calculating solvability percentage...

[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[0.000, 83.251] | (0/1/0) | 0
[0.000, 70.978] | (0/2/0) | 1
[0.000, 61.748] | (0/3/0) | 2
[0.000, 54.596] | (0/4/0) | 3
[0.000, 48.906] | (0/5/0) | 4
[0.000, 58.220] | (0/5/1) | 5
[0.000, 53.350] | (0/6/1) | 6
[0.000, 49.218] | (0/7/1) | 7
[0.000, 45.672] | (0/8/1) | 8
[0.000, 42.597] | (0/9/1) | 9
[0.000, 39.907] | (0/10/1) | 10
[0.000, 37.534] | (0/11/1) | 11
[0.000, 35.426] | (0/12/1) | 12
[0.000, 33.540] | (0/13/1) | 13
[0.000, 31.844] | (0/14/1) | 14
[0.000, 30.311] | (0/15/1) | 15
[0.000, 28.918] | (0/16/1) | 16
[0.000, 27.647] | (0/17/1) | 17
[0.000, 26.482] | (0/18/1) | 18
[0.000, 25.412] | (0/19/1) | 19
[0.000, 24.424] | (0/20/1) | 20
[0.000, 23.511] | (0/21/1) | 21
[0.000, 22.663] | (0/22/1) | 22
[0.000, 27.003] | (0/22/2) | 23
[0.000, 26.102] | (0/23/2) | 24
[0.000, 25.260] | (0/24/2) | 25
[0.000, 24.469] | (0/25/2) | 26
[0.000, 23.727] | (0/26/2) | 27
[0.000, 23.028] | (0/27/2) | 28
[0.000, 26.418] | (0/27/3) | 29
[0.000, 25.687] | (0/28/3) | 30
[0.000, 24.997] | (0/29/3) | 31
[0.000, 27.930] | (0/29/4) | 32
[0.000, 30.606] | (0/29/5) | 33
[0.000, 29.852] | (0/30/5) | 34
[0.000, 29.135] | (0/31/5) | 35
[0.000, 28.451] | (0/32/5) | 36
[0.000, 27.799] | (0/33/5) | 37
[0.000, 27.175] | (0/34/5) | 38
[0.000, 26.579] | (0/35/5) | 39
[0.000, 26.008] | (0/36/5) | 40
[0.000, 25.461] | (0/37/5) | 41
[0.000, 24.937] | (0/38/5) | 42
[0.000, 27.089] | (0/38/6) | 43
[0.000, 26.555] | (0/39/6) | 44
[0.000, 26.042] | (0/40/6) | 45
[0.000, 25.548] | (0/41/6) | 46
[0.000, 25.073] | (0/42/6) | 47
[0.000, 24.615] | (0/43/6) | 48
[0.000, 24.173] | (0/44/6) | 49
[0.000, 23.747] | (0/45/6) | 50
[0.000, 23.335] | (0/46/6) | 51
[0.000, 25.150] | (0/46/7) | 52
[0.000, 24.731] | (0/47/7) | 53
[0.000, 24.324] | (0/48/7) | 54
[0.000, 23.931] | (0/49/7) | 55
[0.000, 23.551] | (0/50/7) | 56
