Calculating solvability percentage...

[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[16.749, 100.000] | (1/0/0) | 0
[29.022, 100.000] | (2/0/0) | 1
[38.252, 100.000] | (3/0/0) | 2
[45.404, 100.000] | (4/0/0) | 3
[51.094, 100.000] | (5/0/0) | 4
[55.721, 100.000] | (6/0/0) | 5
[59.555, 100.000] | (7/0/0) | 6
[62.782, 100.000] | (8/0/0) | 7
[65.535, 100.000] | (9/0/0) | 8
[67.910, 100.000] | (10/0/0) | 9
[69.981, 100.000] | (11/0/0) | 10
[71.801, 100.000] | (12/0/0) | 11
[73.413, 100.000] | (13/0/0) | 12
[74.852, 100.000] | (14/0/0) | 13
[76.143, 100.000] | (15/0/0) | 14
[77.308, 100.000] | (16/0/0) | 15
[78.365, 100.000] | (17/0/0) | 16
[79.328, 100.000] | (18/0/0) | 17
[80.209, 100.000] | (19/0/0) | 18
[81.018, 100.000] | (20/0/0) | 19
[81.764, 100.000] | (21/0/0) | 20
[82.453, 100.000] | (22/0/0) | 21
[83.093, 100.000] | (23/0/0) | 22
[83.687, 100.000] | (24/0/0) | 23
[84.241, 100.000] | (25/0/0) | 24
[84.758, 100.000] | (26/0/0) | 25
[85.243, 100.000] | (27/0/0) | 26
[85.698, 100.000] | (28/0/0) | 27
[86.126, 100.000] | (29/0/0) | 28
[86.528, 100.000] | (30/0/0) | 29
[86.909, 100.000] | (31/0/0) | 30
[87.268, 100.000] | (32/0/0) | 31
[87.608, 100.000] | (33/0/0) | 32
[87.930, 100.000] | (34/0/0) | 33
[88.236, 100.000] | (35/0/0) | 34
[88.527, 100.000] | (36/0/0) | 35
[88.804, 100.000] | (37/0/0) | 36
[89.068, 100.000] | (38/0/0) | 37
[89.320, 100.000] | (39/0/0) | 38
[89.560, 100.000] | (40/0/0) | 39
[89.790, 100.000] | (41/0/0) | 40
[90.010, 100.000] | (42/0/0) | 41
[90.220, 100.000] | (43/0/0) | 42
