Calculating solvability percentage...
[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed

[16.749, 100.000] | (1/0/0) | 0
[29.022, 100.000] | (2/0/0) | 1
[38.252, 100.000] | (3/0/0) | 2
[45.404, 100.000] | (4/0/0) | 3
[51.094, 100.000] | (5/0/0) | 4
[55.721, 100.000] | (6/0/0) | 5
[59.555, 100.000] | (7/0/0) | 6
[62.782, 100.000] | (8/0/0) | 7
[65.535, 100.000] | (9/0/0) | 8
[57.403, 100.000] | (9/1/0) | 9
[60.093, 100.000] | (10/1/0) | 10
[62.466, 100.000] | (11/1/0) | 11
[56.535, 96.904] | (11/2/0) | 12
[58.810, 97.239] | (12/2/0) | 13
[60.861, 97.521] | (13/2/0) | 14
[62.718, 97.761] | (14/2/0) | 15
[64.409, 97.966] | (15/2/0) | 16
[65.954, 98.144] | (16/2/0) | 17
[61.597, 95.317] | (16/3/0) | 18
[63.115, 95.606] | (17/3/0) | 19
[64.518, 95.865] | (18/3/0) | 20
[65.819, 96.096] | (19/3/0) | 21
[67.029, 96.306] | (20/3/0) | 22
[68.156, 96.495] | (21/3/0) | 23
[69.210, 96.667] | (22/3/0) | 24
[70.196, 96.825] | (23/3/0) | 25
[71.121, 96.969] | (24/3/0) | 26
[67.892, 94.919] | (24/4/0) | 27
[68.824, 95.119] | (25/4/0) | 28
[69.704, 95.305] | (26/4/0) | 29
[66.888, 93.384] | (26/5/0) | 30
[67.768, 93.613] | (27/5/0) | 31
[68.602, 93.828] | (28/5/0) | 32
[69.394, 94.028] | (29/5/0) | 33
[70.148, 94.216] | (30/5/0) | 34
[70.865, 94.393] | (31/5/0) | 35
[71.549, 94.560] | (32/5/0) | 36
[72.201, 94.718] | (33/5/0) | 37
[72.825, 94.866] | (34/5/0) | 38
[73.421, 95.007] | (35/5/0) | 39
[73.992, 95.140] | (36/5/0) | 40
[74.539, 95.267] | (37/5/0) | 41
[75.063, 95.387] | (38/5/0) | 42
[72.911, 93.976] | (38/6/0) | 43
[73.445, 94.120] | (39/6/0) | 44
[73.958, 94.258] | (40/6/0) | 45
[74.452, 94.389] | (41/6/0) | 46
[74.927, 94.515] | (42/6/0) | 47
[75.385, 94.635] | (43/6/0) | 48
[75.827, 94.750] | (44/6/0) | 49
[76.253, 94.861] | (45/6/0) | 50
[76.665, 94.967] | (46/6/0) | 51
[77.062, 95.068] | (47/6/0) | 52
[77.446, 95.166] | (48/6/0) | 53
[77.818, 95.260] | (49/6/0) | 54
[78.177, 95.350] | (50/6/0) | 55
[76.449, 94.226] | (50/7/0) | 56
[76.818, 94.332] | (51/7/0) | 57
[77.175, 94.433] | (52/7/0) | 58
[77.522, 94.532] | (53/7/0) | 59
[77.858, 94.626] | (54/7/0) | 60
[78.184, 94.718] | (55/7/0) | 61
[78.501, 94.807] | (56/7/0) | 62
[78.809, 94.892] | (57/7/0) | 63
[79.108, 94.975] | (58/7/0) | 64
[79.399, 95.055] | (59/7/0) | 65
[79.682, 95.133] | (60/7/0) | 66
[79.957, 95.209] | (61/7/0) | 67
[80.225, 95.282] | (62/7/0) | 68
[80.485, 95.353] | (63/7/0) | 69
[79.062, 94.427] | (63/8/0) | 70
[79.330, 94.508] | (64/8/0) | 71
[79.592, 94.587] | (65/8/0) | 72
[79.847, 94.663] | (66/8/0) | 73
[80.096, 94.738] | (67/8/0) | 74
[78.785, 93.859] | (67/9/0) | 75
[79.040, 93.942] | (68/9/0) | 76
[77.792, 93.077] | (68/10/0) | 77
[78.052, 93.168] | (69/10/0) | 78
[78.306, 93.257] | (70/10/0) | 79
[78.555, 93.344] | (71/10/0) | 80
[78.798, 93.429] | (72/10/0) | 81
[79.035, 93.511] | (73/10/0) | 82
[79.267, 93.591] | (74/10/0) | 83
[79.494, 93.670] | (75/10/0) | 84
[79.716, 93.746] | (76/10/0) | 85
[79.934, 93.821] | (77/10/0) | 86
[80.147, 93.894] | (78/10/0) | 87
[80.355, 93.965] | (79/10/0) | 88
[79.260, 93.203] | (79/11/0) | 89
[79.472, 93.280] | (80/11/0) | 90
[79.681, 93.356] | (81/11/0) | 91
[79.885, 93.430] | (82/11/0) | 92
[80.086, 93.503] | (83/11/0) | 93
[80.282, 93.573] | (84/11/0) | 94
[80.475, 93.643] | (85/11/0) | 95
[80.663, 93.711] | (86/11/0) | 96
[80.849, 93.777] | (87/11/0) | 97
[79.852, 93.076] | (87/12/0) | 98
[80.041, 93.148] | (88/12/0) | 99
[80.226, 93.218] | (89/12/0) | 100
[80.409, 93.286] | (90/12/0) | 101
[80.587, 93.354] | (91/12/0) | 102
[80.763, 93.420] | (92/12/0) | 103
[80.936, 93.484] | (93/12/0) | 104
[81.105, 93.548] | (94/12/0) | 105
[81.271, 93.610] | (95/12/0) | 106
[81.435, 93.671] | (96/12/0) | 107
