[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[0.000, 100.000] | (0/0/1) | 0 (inc timeout & re-eval expected CI: 0.833) (continue same length of time expected CI: 0.887)  (doubling timeout & re-evaluating intractable seeds)
[0.000, 100.000] | (0/0/1) | 0  (...re-evaluating...)
[0.000, 100.000] | (0/0/2) | 1 (inc timeout & re-eval expected CI: 0.887) (continue same length of time expected CI: 0.959)  (doubling timeout & re-evaluating intractable seeds)
[0.000, 100.000] | (0/0/1) | 0  (...re-evaluating...)
[0.000, 100.000] | (0/0/2) | 1  (...re-evaluating...)  (doubling timeout & re-evaluating intractable seeds)
[0.000, 100.000] | (0/0/1) | 0  (...re-evaluating...)
[0.000, 100.000] | (0/0/2) | 1  (...re-evaluating...)  (doubling timeout & re-evaluating intractable seeds)
[0.000, 100.000] | (0/0/1) | 0  (...re-evaluating...)
[0.000, 100.000] | (0/0/2) | 1  (...re-evaluating...)  (doubling timeout & re-evaluating intractable seeds)
[0.000, 100.000] | (0/0/1) | 0  (...re-evaluating...)
[0.000, 100.000] | (0/0/2) | 1  (...re-evaluating...)
[0.000, 100.000] | (0/0/3) | 2 (inc timeout & re-eval expected CI: 0.932) (continue same length of time expected CI: 0.893)
[0.000, 96.592] | (0/1/3) | 3 (inc timeout & re-eval expected CI: 0.864) (continue same length of time expected CI: 0.830)
[0.000, 97.968] | (0/1/4) | 4 (inc timeout & re-eval expected CI: 0.864) (continue same length of time expected CI: 0.833)
[1.136, 98.864] | (1/1/4) | 5 (inc timeout & re-eval expected CI: 0.815) (continue same length of time expected CI: 0.819)  (doubling timeout & re-evaluating intractable seeds)
[0.000, 100.000] | (0/0/1) | 0  (...re-evaluating...)
[0.000, 100.000] | (0/0/2) | 1  (...re-evaluating...)
[5.627, 100.000] | (1/0/2) | 2  (...re-evaluating...)
[3.408, 100.000] | (1/0/3) | 4  (...re-evaluating...)  (doubling timeout & re-evaluating intractable seeds)
[0.000, 100.000] | (0/0/1) | 0  (...re-evaluating...)
[0.000, 100.000] | (0/0/2) | 1  (...re-evaluating...)
[5.627, 100.000] | (1/0/2) | 4  (...re-evaluating...)  (doubling timeout & re-evaluating intractable seeds)
[0.000, 100.000] | (0/0/1) | 0  (...re-evaluating...)
[0.000, 100.000] | (0/0/2) | 1  (...re-evaluating...)  (doubling timeout & re-evaluating intractable seeds)
[16.749, 100.000] | (1/0/0) | 0  (...re-evaluating...)
[29.022, 100.000] | (2/0/0) | 1  (...re-evaluating...)
[35.235, 92.437] | (5/2/0) | 6 (inc timeout & re-eval expected CI: 0.572) (continue same length of time expected CI: 0.000)
[40.085, 93.694] | (6/2/0) | 7 (inc timeout & re-eval expected CI: 0.536) (continue same length of time expected CI: 0.000)
[35.090, 94.657] | (6/2/1) | 8 (inc timeout & re-eval expected CI: 0.536) (continue same length of time expected CI: 0.680)  (doubling timeout & re-evaluating intractable seeds)
[0.000, 100.000] | (0/0/1) | 8  (...re-evaluating...)  (doubling timeout & re-evaluating intractable seeds)
[0.000, 100.000] | (0/0/1) | 8  (...re-evaluating...)  (doubling timeout & re-evaluating intractable seeds)
[16.749, 100.000] | (1/0/0) | 8  (...re-evaluating...)
[47.936, 95.411] | (8/2/0) | 9 (inc timeout & re-eval expected CI: 0.475) (continue same length of time expected CI: 0.000)
[51.151, 96.013] | (9/2/0) | 10 (inc timeout & re-eval expected CI: 0.449) (continue same length of time expected CI: 0.000)
[53.998, 96.502] | (10/2/0) | 11 (inc timeout & re-eval expected CI: 0.425) (continue same length of time expected CI: 0.000)
[56.535, 96.904] | (11/2/0) | 12 (inc timeout & re-eval expected CI: 0.404) (continue same length of time expected CI: 0.000)
[58.810, 97.239] | (12/2/0) | 13 (inc timeout & re-eval expected CI: 0.384) (continue same length of time expected CI: 0.000)
[60.861, 97.521] | (13/2/0) | 14 (inc timeout & re-eval expected CI: 0.367) (continue same length of time expected CI: 0.000)
[62.718, 97.761] | (14/2/0) | 15 (inc timeout & re-eval expected CI: 0.350) (continue same length of time expected CI: 0.000)
[64.409, 97.966] | (15/2/0) | 16 (inc timeout & re-eval expected CI: 0.336) (continue same length of time expected CI: 0.000)
[65.954, 98.144] | (16/2/0) | 17 (inc timeout & re-eval expected CI: 0.322) (continue same length of time expected CI: 0.000)
[67.371, 98.299] | (17/2/0) | 18 (inc timeout & re-eval expected CI: 0.309) (continue same length of time expected CI: 0.000)
[68.675, 98.434] | (18/2/0) | 19 (inc timeout & re-eval expected CI: 0.298) (continue same length of time expected CI: 0.000)
[69.880, 98.554] | (19/2/0) | 20 (inc timeout & re-eval expected CI: 0.287) (continue same length of time expected CI: 0.000)
[70.995, 98.660] | (20/2/0) | 21 (inc timeout & re-eval expected CI: 0.277) (continue same length of time expected CI: 0.000)
[72.032, 98.754] | (21/2/0) | 22 (inc timeout & re-eval expected CI: 0.267) (continue same length of time expected CI: 0.000)
[68.156, 96.495] | (21/3/0) | 23 (inc timeout & re-eval expected CI: 0.283) (continue same length of time expected CI: 0.000)
[69.210, 96.667] | (22/3/0) | 24 (inc timeout & re-eval expected CI: 0.275) (continue same length of time expected CI: 0.000)
[70.196, 96.825] | (23/3/0) | 25 (inc timeout & re-eval expected CI: 0.266) (continue same length of time expected CI: 0.000)
[71.121, 96.969] | (24/3/0) | 26 (inc timeout & re-eval expected CI: 0.258) (continue same length of time expected CI: 0.000)
[71.991, 97.101] | (25/3/0) | 27 (inc timeout & re-eval expected CI: 0.251) (continue same length of time expected CI: 0.000)
[72.810, 97.223] | (26/3/0) | 28 (inc timeout & re-eval expected CI: 0.244) (continue same length of time expected CI: 0.000)
[73.582, 97.336] | (27/3/0) | 29 (inc timeout & re-eval expected CI: 0.238) (continue same length of time expected CI: 0.000)
[74.313, 97.441] | (28/3/0) | 30 (inc timeout & re-eval expected CI: 0.231) (continue same length of time expected CI: 0.000)
[75.003, 97.538] | (29/3/0) | 31 (inc timeout & re-eval expected CI: 0.225) (continue same length of time expected CI: 0.000)
[75.658, 97.628] | (30/3/0) | 32 (inc timeout & re-eval expected CI: 0.220) (continue same length of time expected CI: 0.000)
[76.280, 97.713] | (31/3/0) | 33 (inc timeout & re-eval expected CI: 0.214) (continue same length of time expected CI: 0.000)
[76.870, 97.792] | (32/3/0) | 34 (inc timeout & re-eval expected CI: 0.209) (continue same length of time expected CI: 0.000)
[74.094, 96.184] | (32/4/0) | 35 (inc timeout & re-eval expected CI: 0.221) (continue same length of time expected CI: 0.000)
[74.705, 96.301] | (33/4/0) | 36 (inc timeout & re-eval expected CI: 0.216) (continue same length of time expected CI: 0.000)
[75.288, 96.411] | (34/4/0) | 37 (inc timeout & re-eval expected CI: 0.211) (continue same length of time expected CI: 0.000)
[75.845, 96.514] | (35/4/0) | 38 (inc timeout & re-eval expected CI: 0.207) (continue same length of time expected CI: 0.000)
[73.421, 96.612] | (35/4/1) | 39 (inc timeout & re-eval expected CI: 0.207) (continue same length of time expected CI: 0.300)  (doubling timeout & re-evaluating intractable seeds)
[16.749, 100.000] | (1/0/0) | 39  (...re-evaluating...)
[76.888, 96.705] | (37/4/0) | 40 (inc timeout & re-eval expected CI: 0.198) (continue same length of time expected CI: 0.000)
[77.376, 96.793] | (38/4/0) | 41 (inc timeout & re-eval expected CI: 0.194) (continue same length of time expected CI: 0.000)
[77.844, 96.876] | (39/4/0) | 42 (inc timeout & re-eval expected CI: 0.190) (continue same length of time expected CI: 0.000)
[78.293, 96.956] | (40/4/0) | 43 (inc timeout & re-eval expected CI: 0.187) (continue same length of time expected CI: 0.000)
[78.724, 97.031] | (41/4/0) | 44 (inc timeout & re-eval expected CI: 0.183) (continue same length of time expected CI: 0.000)
[76.514, 95.715] | (41/5/0) | 45 (inc timeout & re-eval expected CI: 0.192) (continue same length of time expected CI: 0.000)
[74.452, 94.389] | (41/6/0) | 46 (inc timeout & re-eval expected CI: 0.199) (continue same length of time expected CI: 0.000)
[74.927, 94.515] | (42/6/0) | 47 (inc timeout & re-eval expected CI: 0.196) (continue same length of time expected CI: 0.000)
[75.385, 94.635] | (43/6/0) | 48 (inc timeout & re-eval expected CI: 0.192) (continue same length of time expected CI: 0.000)
[75.827, 94.750] | (44/6/0) | 49 (inc timeout & re-eval expected CI: 0.189) (continue same length of time expected CI: 0.000)
[76.253, 94.861] | (45/6/0) | 50 (inc timeout & re-eval expected CI: 0.186) (continue same length of time expected CI: 0.000)
[76.665, 94.967] | (46/6/0) | 51 (inc timeout & re-eval expected CI: 0.183) (continue same length of time expected CI: 0.000)
[77.062, 95.068] | (47/6/0) | 52 (inc timeout & re-eval expected CI: 0.180) (continue same length of time expected CI: 0.000)
[77.446, 95.166] | (48/6/0) | 53 (inc timeout & re-eval expected CI: 0.177) (continue same length of time expected CI: 0.000)
[75.676, 94.003] | (48/7/0) | 54 (inc timeout & re-eval expected CI: 0.183) (continue same length of time expected CI: 0.000)
[76.069, 94.117] | (49/7/0) | 55 (inc timeout & re-eval expected CI: 0.180) (continue same length of time expected CI: 0.000)
[76.449, 94.226] | (50/7/0) | 56 (inc timeout & re-eval expected CI: 0.178) (continue same length of time expected CI: 0.000)
[76.818, 94.332] | (51/7/0) | 57 (inc timeout & re-eval expected CI: 0.175) (continue same length of time expected CI: 0.000)
[77.175, 94.433] | (52/7/0) | 58 (inc timeout & re-eval expected CI: 0.173) (continue same length of time expected CI: 0.000)
[75.573, 93.347] | (52/8/0) | 59 (inc timeout & re-eval expected CI: 0.178) (continue same length of time expected CI: 0.000)
[75.938, 93.462] | (53/8/0) | 60 (inc timeout & re-eval expected CI: 0.175) (continue same length of time expected CI: 0.000)
