Calculating solvability percentage...

[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[16.749, 100.000] | (1/0/0) | 0
[29.022, 100.000] | (2/0/0) | 1
[20.244, 94.373] | (2/1/0) | 2
[28.913, 96.592] | (3/1/0) | 3
[35.962, 97.968] | (4/1/0) | 4
[41.780, 98.864] | (5/1/0) | 5
[35.235, 92.437] | (5/2/0) | 6
[30.375, 86.514] | (5/3/0) | 7
[26.629, 81.158] | (5/4/0) | 8
[31.160, 83.289] | (6/4/0) | 9
[27.989, 78.749] | (6/5/0) | 10
[31.887, 80.738] | (7/5/0) | 11
[29.131, 76.807] | (7/6/0) | 12
[26.799, 73.201] | (7/7/0) | 13
[30.108, 75.199] | (8/7/0) | 14
[27.999, 72.001] | (8/8/0) | 15
[30.957, 73.841] | (9/8/0) | 16
[33.697, 75.460] | (10/8/0) | 17
[36.239, 76.894] | (11/8/0) | 18
[34.195, 74.194] | (11/9/0) | 19
[32.366, 71.659] | (11/10/0) | 20
[34.649, 73.090] | (12/10/0) | 21
[32.960, 70.765] | (12/11/0) | 22
[31.427, 68.573] | (12/12/0) | 23
[33.497, 69.971] | (13/12/0) | 24
[35.452, 71.250] | (14/12/0) | 25
[33.984, 69.258] | (14/13/0) | 26
[35.808, 70.473] | (15/13/0) | 27
[34.430, 68.615] | (15/14/0) | 28
[33.154, 66.846] | (15/15/0) | 29
[31.969, 65.161] | (15/16/0) | 30
[30.866, 63.554] | (15/17/0) | 31
[29.836, 62.021] | (15/18/0) | 32
[28.873, 60.556] | (15/19/0) | 33
[30.461, 61.816] | (16/19/0) | 34
[31.984, 62.996] | (17/19/0) | 35
[33.446, 64.106] | (18/19/0) | 36
[34.850, 65.150] | (19/19/0) | 37
[36.199, 66.135] | (20/19/0) | 38
[35.199, 64.801] | (20/20/0) | 39
[34.254, 63.516] | (20/21/0) | 40
[33.358, 62.279] | (20/22/0) | 41
[34.617, 63.248] | (21/22/0) | 42
